PageID,WidgetName,Name    ,WriteAddr,Length,ParameterAddr,Length
0,label_0,label_0,0x0000,30,0xFFFF,24,1
0,label_1,label_1,0x001E,30,0xFFFF,24,1
0,label_2,label_2,0x003C,30,0xFFFF,24,1
0,label_3,label_3,0x005A,30,0xFFFF,24,1
0,label_4,label_4,0x0078,30,0xFFFF,24,1
0,label_5,label_5,0x0096,30,0xFFFF,24,1
0,label_6,label_6,0x00B4,30,0xFFFF,24,1
0,label_7,label_7,0x00D2,30,0xFFFF,24,1
0,label_8,label_8,0x00F0,30,0xFFFF,24,1
0,label_9,label_9,0x010E,30,0xFFFF,24,1
0,label_10,label_10,0x012C,30,0xFFFF,24,1
0,label_11,label_11,0x014A,30,0xFFFF,24,0
0,icon_0,icon_0,0x0168,2,0xFFFF,14
0,RTC_0,RTC_0, , ,0xFFFF,9
0,rProgress_0,rProgress_0,0x016A,2,0xFFFF,34
0,rProgress_1,rProgress_1,0x016B,2,0xFFFF,34
